time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
14.10999966,-33.53314209,10.11134529,299.34075928,-29.21014404,-5.06113434,-1.78876185,29.66239929,-12.10538292,459.81835938,-36.53002167,59.2194519,8.08962345
14.11999989,-32.7685318,9.71553707,300.0010376,-29.3050766,-4.96257782,-2.02323961,30.68466377,-12.45792198,459.86694336,-36.72004318,59.2179184,8.1186409
14.13000011,-33.52095795,9.7453289,298.86044312,-29.303936,-4.9622345,-1.95615768,30.46049309,-12.55109978,460.3348999,-36.81555176,59.11785126,7.762362
14.13999939,-32.48529434,9.48257542,298.42999268,-29.21069336,-4.86404037,-1.82106805,30.04829407,-12.81938171,460.890625,-36.71787643,59.4146347,8.0638876
14.14999962,-33.55195999,9.19751835,297.95117188,-29.11576462,-4.96259689,-2.16252661,30.81908417,-12.78539467,461.45788574,-36.81338882,59.31456757,7.79631329
14.15999985,-34.38699722,9.88064575,297.71936035,-29.11576462,-4.96259689,-1.95375466,31.22491074,-12.20077896,461.92388916,-36.9073143,59.41216278,8.19491291
14.17000008,-33.25713348,10.70466328,297.84570313,-29.11576462,-4.96259689,-2.01575017,30.35093689,-13.27604866,461.88809204,-36.9073143,59.41216278,7.86529541
14.17999935,-33.01818848,9.21605492,297.38500977,-29.2121048,-5.06186295,-1.96099293,30.47036743,-12.10100937,461.8409729,-36.9073143,59.41216278,7.8154707
14.18999958,-32.74661636,9.47941303,297.28933716,-29.2121048,-5.06186295,-1.75602388,30.37994385,-12.77747345,461.90820313,-36.9073143,59.41216278,7.4692893
14.19999981,-33.14965057,9.29786873,296.31427002,-29.0239296,-5.06222343,-2.09167433,31.48424721,-11.81429291,462.47814941,-37.00123978,59.50975037,7.88382769
14.21000004,-33.74126434,9.42682648,296.11828613,-29.0239296,-5.06222343,-2.14685154,31.09567261,-12.88457489,462.97451782,-37.09674835,59.40968704,7.69767046
14.21999931,-32.51041031,9.66690159,295.87902832,-29.11772156,-4.9633255,-1.82206786,30.97485924,-12.21565437,462.54266357,-37.18898392,59.7068634,7.54444885
14.22999954,-32.49341965,10.89245033,294.72363281,-28.92954826,-4.9636879,-1.94765174,30.37945557,-12.17100334,463.50354004,-37.18909454,59.70492554,7.76172876
14.23999977,-32.98585129,9.65689754,294.18304443,-29.02589035,-5.06295395,-1.88286638,30.75891113,-12.16183853,464.00982666,-37.28460693,59.60486603,7.66510201
